"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES"
"USW00094789","2020-01-01","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","   56",",,W","   11",",,W","","","","","  -50",",,W","10085",",,W","10078",",,W","    6",",,W","   79",",,W","","","","","","","","","   56",",,W","   43",",,W","   70",",,W","","","","","","","  290",",,W","  290",",,W","","","","","","","","","  125",",,W","  174",",,W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094789","2020-01-02","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","   89",",,W","   -5",",,W","","","","","    0",",,W","10139",",,W","10129",",,W","   28",",,W","   43",",,W","","","","","","","","","   76",",,W","   58",",,W","   93",",,W","","","","","","","  190",",,W","  190",",,W","","","","","","","","","   72",",,W","   98",",,W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094789","2020-01-03","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","   33",",,W,2400","    0",",,W,2400","    0",",,W,2400","   89",",,W","   56",",,W","","","","","   67",",,W","10102",",,W","10085",",,W","   72",",,W","   29",",,W","","","","","","","","","   96",",,W","   83",",,W","  100",",,W","","","","","","","  240",",,W","  250",",,W","","","","","","","","","   58",",,W","   72",",,W","","","","","    1",",,W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094789","2020-01-04","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","   41",",,W,2400","    0",",,W,2400","    0",",,W,2400","  106",",,W","   61",",,W","","","","","   78",",,W","10034",",,W","10030",",,W","   83",",,W","   37",",,W","","","","","","","","","   97",",,W","   80",",,W","  100",",,W","","","","","","","  330",",,W","  320",",,W","","","","","","","","","  116",",,W","  157",",,W","","","","","    1",",,W","    1",",,W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094789","2020-01-05","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","    0","T,,W,2400","    0",",,W,2400","    0",",,W,2400","   94",",,W","   17",",,W","","","","","  -50",",,W","10102",",,W","10075",",,W","    6",",,W","   96",",,W","","","","","","","","","   53",",,W","   45",",,W","   83",",,W","","","","","","","  310",",,W","  300",",,W","","","","","","","","","  170",",,W","  228",",,W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094789","2020-01-06","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","    8",",,W,2400","    8",",,W,2400","    0","T,,W,2400","   72",",,W","    0",",,W","","","","","  -17",",,W","10156",",,W","10146",",,W","   17",",,W","   62",",,W","","","","","","","","","   70",",,W","   48",",,W","   92",",,W","","","","","","","  290",",,W","  300",",,W","","","","","","","","","   98",",,W","  107",",,W","","","","","    1",",,W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094789","2020-01-07","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","    8",",,W,2400","    0",",,W,2400","    0",",,W,2400","   67",",,W","   17",",,W","","","","","  -28",",,W","10159",",,W","10156",",,W","   17",",,W","   38",",,W","","","","","","","","","   66",",,W","   45",",,W","   97",",,W","","","","","","","  250",",,W","   90",",,W","","","","","","","","","   72",",,W","   81",",,W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094789","2020-01-08","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","   61",",,W","  -21",",,W","","","","","  -61",",,W","10173",",,W","10142",",,W","   -6",",,W","   93",",,W","","","","","","","","","   60",",,W","   31",",,W","   92",",,W","","","","","","","  310",",,W","  310",",,W","","","","","","","","","  139",",,W","  179",",,W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094789","2020-01-09","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","   11",",,W","  -43",",,W","","","",""," -117",",,W","10389",",,W","10366",",,W","  -44",",,W","   50",",,W","","","","","","","","","   47",",,W","   32",",,W","   70",",,W","","","","","","","  300",",,W","  320",",,W","","","","","","","","","  125",",,W","  174",",,W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094789","2020-01-10","40.63915","-73.7639","2.7","JFK INTERNATIONAL AIRPORT, NY US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  106",",,W","    0",",,W","","","","","   39",",,W","10342",",,W","10342",",,W","   50",",,W","   35",",,W","","","","","","","","","   86",",,W","   75",",,W","   96",",,W","","","","","","","  230",",,W","  230",",,W","","","","","","","","","   67",",,W","   81",",,W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
